Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
"4H Pharms, LLC","4H Pharms, LLC",Processor,PAAA-C1RO-99TJ,2022-12-06,Pontotoc,ADA,13272 COUNTY ROAD 3525,74820-5225,5803100090,hannah@4hpharms.com,8:00 am to 5:00 pm
Med Pharm Inc,Med Pharm,Processor,PAAA-UHK4-IMPC,2022-11-22,Wagoner,BROKEN ARROW,24683 E HIGHWAY 51,74014-3416,9182847875,denimink@aol.com,9am-10pm
"Cool Zero Grow, LLC",The Zero Group,Processor,PAAA-4KSH-CBVL,2023-04-19,Mayes,Pryor,4708 54th Street - Suite A,74361,9188245846,danc@rae-corp.com,8 - 5 M-F
OAK TREE EXTRACTS LLC,OAK TREE EXTRACTS LLC,Processor,PAAA-QDYQ-49U7,2023-01-12,Haskell,STIGLER,20122 E PERRY RD,74462-2641,9184480160,oaktree614@yahoo.com,9-5
"OTOP GROUP, LLC","OTOP GROUP, LLC",Processor,PAAA-NVDJ-3QYR,2023-07-04,McIntosh,CHECOTAH,109252 OLD HIGHWAY 69,74426-5803,3108505570,vanessa@moazezilaw.com,9:00 AM-5:00 PM
Danky Pharms Alliance LLC,Danky Pharms Alliance LLC,Processor,PAAA-DNIY-QH5E,2022-06-29,Tulsa,Tulsa,1418 East 4th Street,74120-2804,9186079600,brookeh@nameplatesusa.com,10:00am - 8:00pm M-F
420 Green Grass Corporation,420 Green Grass Corporation,Processor,PAAA-NY0N-TRPK,2023-03-01,Carter,ARDMORE,1111 US HIGHWAY 77,73401-2061,2544850894,okcdisp@yahoo.com,9 AM to 9 PM
Oklaflora LLC,Euflora,Processor,PAAA-ORJV-Q8IU,2022-12-06,Oklahoma,OKLAHOMA CITY,5701 S WESTERN AVE,73109-4514,7864144409,marie@euflorausa.com,9am-9pm
Kandy Kolas LLC,Kandy Kolas LLC,Processor,PAAA-6NBB-J8DT,2022-12-19,Oklahoma,OKLAHOMA CITY,1825 LINWOOD BLVD,73106-2625,4058314211,kandykolas@yahoo.com,12pm-6pm
"DC PREMIER FARMS, LLC","DC PREMIER FARMS, LLC",Processor,PAAA-V9WO-SIM1,2022-10-16,Kingfisher,Dover,13501 US HIGHWAY 81,73734,4054320085,dcpremierfarms@gmail.com,8AM-5PM
Roch & Co. LLC,Roch & Co. LLC,Processor,PAAA-4YWN-MGZR,2023-07-07,Stephens,Duncan,505 US-81 South,73533-2049,9038187677,chancerochell91@gmail.com,N/A
TOP FLIGHT DISTRIBUTION LLC,ZEN OK,Processor,PAAA-NYZT-6BFH,2023-06-30,Oklahoma,OKLAHOMA CITY,2166 W I 240 SERVICE RD,73159-8244,4059243932,nicole@iwantzen.com,Monday- Friday 8am- 6 pm
EAGLE EYE SUPPLY LLC,Eagle Eye Supply LLC,Processor,PAAA-4YUN-LTIR,2023-01-09,Mayes,SPAVINAW,214 W LAKE AVE,74366-4100,(918) 537-1579,canabitu@gmail.com,12a
Bloominati Processing Inc,Bloominati Processing Inc,Processor,PAAA-H0UP-CHT9,2022-11-03,Sequoyah,Roland,,74954,9182085169,thebudshop@yahoo.com,"9:00 a.m. - 5:00 p.m., Monday-Saturday"
"Rex's Remedies, LLC",Rex's,Processor,PAAA-VK9F-MGAU,2023-01-09,Tulsa,TULSA,11105 E 56TH ST,74146-6726,9186910196,rexsremediesok@gmail.com,10-6
"White Rabbit Medicinals, LLC",White Rabbit Medicinals,Processor,PAAA-VJHF-WFT7,2023-05-29,Tulsa,TULSA,916 W 23RD ST,74107-2818,(405) 886-5792,whiterabbitmedicinals@gmail.com,8-5
710 Empire LLC,710 Empire,Processor,PAAA-UQ1C-S6UX,2022-11-28,Pottawatomie,WANETTE,35776 HAMILTON RD,74878-6025,9154719816,puffinpurellc@gmail.com,8am-5pm M-F
Fireside Extracts LLC,Fireside Extracts LLC,Processor,PAAA-EJLP-YDJ0,2022-11-07,Le Flore,SHADY POINT,25530 CALHOUN RD,74956-2046,9184137680,firesideextracts@gmail.com,8am - 12am
"Freshwater Nano-Emulsions, LLC","Freshwater Nano-Emulsions, LLC",Processor,PAAA-SHJM-VE8T,2022-09-15,Oklahoma,OKLAHOMA CITY,3721 NW 29TH ST,73107-1305,4055965162,freshwaternanoemulsions@gmail.com,"10am - 2pm, M-F - Additional hours, as needed"
Natural Healing Farms LLC,Natural Healing Farms,Processor,PAAA-EYC4-SSAA,2022-11-15,McClain,WASHINGTON,23475 EASTERN AVE,73093-4660,4052299530,scott@247splicing.com,8-5
Loud House Extractions LLC,Loud House Extractions LLC,Processor,PAAA-V2JH-HMZA,2022-12-04,Bryan,mead,19 business parkway,73449,7199649781,theloudhouse.mead@gmail.com,9am-5pm
CONTE ENTERPRISE LLC,CONTE ENTERPRISE,Processor,PAAA-VJQU-FZPV,2023-09-18,Creek,STROUD,51152 W 271ST ST S,74079,(702) 525-1635,tania@contellc.com,9-5pm
Bingo 101,Bingo 101,Processor,PAAA-XWOR-LVLD,2023-09-29,Oklahoma,OKLAHOMA CITY,2921 NW 10TH ST,73107-5315,(405) 493-9550,compliance@highsocietyok.com,24 hrs
Best Dispensaries LLC,Best Dispensaries LLC,Processor,PAAA-E1BI-YGF4,2023-06-28,Tulsa,TULSA,1502 S HARVARD AVE,74112-5822,9182844295,chicohcc@gmail.com,"8am-9pm Mon- Wed, 8am- 11pm Thurs- Sat, Sunday 12-5"
"Customer Care, LLC",Amy's Edibles/The Edible Lady,Processor,PAAA-NYNO-3DV6,2022-12-20,Creek,SAPULPA,7 S MAIN ST,74066-4103,9188610040,amy@customercareok.com,8am-8pm M-F
"Quality Greens, LLC","Quality Greens, LLC",Processor,PAAA-RPAL-YFEG,2022-09-27,Oklahoma,CHOCTAW,1800 LAKEVIEW DR,73020-6204,4053232744,qualitygreensllc@gmail.com,8:00 AM - 5:00 PM
IHS Processing LLC,IHS Processing LLC,Processor,PAAA-VKNW-BB1K,2023-02-02,Kay,Newkirk,4637 US-77,74647,4052354700,rbartlett@omdevelopment.org,8 a.m. - 5 p.m.
"Freedom Hill Farms, Inc.",Freedom Hill Farms,Processor,PAAA-FBTW-NIPL,2022-10-31,Creek,MANNFORD,37300 W 67TH ST S,74044,9184922993,freedomhillfarms20@gmail.com,8AM - 5PM Monday thru Friday
Stone S Properties LLC,Stone S Properties LLC,Processor,PAAA-7A6U-ZW4C,2022-12-05,Pittsburg,MCALESTER,8211 W US HIGHWAY 270,74501,9183188848,schogginsbobbie@gmail.com,Monday-Friday 8 A.M. - 5 P.M.
DCP Enterprizes LLC,Skrappy Snax,Processor,PAAA-NRIN-UBKN,2022-12-14,Oklahoma,HARRAH,501 S HARRAH RD,73045-6621,4055371822,chef.patrick@hotmail.com,10am-6pm
Skunk Hollow Farms LLC,Skunk Hollow Farms LLC,Processor,PAAA-LX9P-2JVW,2022-12-18,Choctaw,Swink,4235 E 2070 Rd,74761-0106,5807431190,darla@skunkhollowfarms.com,9 a.m. -6 p.m.
"G'Z WAX, INC.","G'Z WAX, INC.",Processor,PAAA-WA0V-LQQK,2023-06-22,Canadian,YUKON,10948 NW EXPRESSWAY,73099-8785,4053069250,gabriel.g.patty@gmail.com,9:00 a.m. to 7:00 p.m.
"Saint Jane Cannabis Club, LLC",Saint Jane Cannabis Club,Processor,PAAA-41GK-TLMQ,2022-10-31,Tulsa,BROKEN ARROW,405 W KENOSHA ST,74012-8908,9185219699,csehvolere@gmail.com,10am-9pm
J & JS Processing LLC,J & JS Processing LLC,Processor,PAAA-CG4J-O5WO,2023-03-29,Tulsa,BROKEN ARROW,1105 W DETROIT ST,74012-3636,9189339526,jstarks601@gmail.com,9-5
Origins Agriculture LLC,Origins Agriculture LLC,Processor,PAAA-4JGA-CR6N,2022-11-27,Oklahoma,OKLAHOMA CITY,2410 N MERIDIAN AVE,73107-1033,2069159212,jon@originscorporate.com,9am-5pm
Heartland Gold LLC,Revel Roots,Processor,PAAA-EYHN-J848,2023-06-27,Oklahoma,OKLAHOMA CITY,914 NW 73RD ST,73116-7109,(405) 694-0480,mammothprocessing@gmail.com,Week days
"Undercover Ag 2, LLC","Undercover Ag 2, LLC",Processor,PAAA-NY1D-XFBH,2023-03-31,Seminole,WEWOKA,35843 EW 1270,74884-8801,7127892999,dandmuller@hotmail.com,M-F 8am-5pm
"Westmarc'D Lab, LLC","Westmarc'D Lab, LLC",Processor,PAAA-4YUL-WPMQ,2023-04-19,Love,Marietta,11990 Hwy 32,73448,5804901493,westmarcdllc@gmail.com,9am-5pm
"RF Works, LLC",RF Works,Processor,PAAA-NKZA-WDAW,2022-10-05,Lincoln,Mcloud,105332 S. 3343 Rd.,74851,4059653028,rfworksyang@gmail.com,M-F 10am-6pm
PrimeTime Holdings,Loud Organix,Processor,PAAA-FA7T-76LH,2022-10-24,Cleveland,NOBLE,8650 S HIGHWAY 77,73068-5321,2065566594,deryck.tsg@gmail.com,10-6pm
Grassfire LLC,Grassfire,Processor,PAAA-POYB-TARD,2022-09-22,Rogers,TULSA,15229 E SKELLY DR,74116-2620,9186051052,dans@mlfok.com,8am-5pm
Good Vibes Supply OK LLC,Good Vibes Supply OK,Processor,PAAA-EYIO-WVKD,2024-08-11,Oklahoma,OKLAHOMA CITY,8101 NW 10TH ST,73127-2974,4058336595,goodvibessupplyok@gmail.com,9-5
Fubr LLC,Soul Jelly,Processor,PAAA-J9LT-MTOP,2022-12-18,McCurtain,HAWORTH,698 GARNET RIDGE RD,74740-5409,5806120618,mccurtainsfinest@yahoo.com,9am-9pm
"Foresight Solutions, LLC",Foresight Solutions,Processor,PAAA-EKCU-JTCV,2023-02-14,Pottawatomie,SHAWNEE,42303 HAZEL DELL RD,74804-9523,3107397925,jeremiahc2013@gmail.com,11am-7pm
Ganja Gifts LLC,Ganja Gifts LLC,Processor,PAAA-JGJQ-NLZN,2023-03-10,Creek,Slick,,74071,9189029010,monique.moore92@hotmail.com,9AM-5PM
Gray Cloud OK LLC,Gray Cloud LLC,Processor,PAAA-EYOO-HEHV,2022-11-07,Oklahoma,OKLAHOMA CITY,2236 NW 10th St.,73107,5109675305,jessieraegray@gmail.com,7:00a-5:00a
"Green Hill Farms, LLC",Green Hill Farms,Processor,PAAA-U4KO-MFS0,2022-11-06,Comanche,LAWTON,22715 STATE HIGHWAY 49,73507-8103,5806786350,travis.mcbride88@gmail.com,8am-5pm
Big Mountain Melts LLC,Big Mountain Melts LLC,Processor,PAAA-C5RN-D1UK,2022-09-19,Creek,Bristow,11395 S. 369th W. Ave,74010,9184304057,bigmountainmelts@gmail.com,8am to 5pm
6S PROCESSING LLC,6S PROCESSING LLC,Processor,PAAA-KL6Y-PLGT,2023-07-17,Woods,CAPRON,1161 1ST ST,73717,6209317737,jeremy@6sllc.com,8-5
Premium Organics LLC,Premium Organics LLC,Processor,PAAA-WHFE-DGZO,2022-11-14,Cleveland,NOBLE,8530 ENTERPRISE AVE,73068-1010,4053310643,cbfomma@gmail.com,Monday - Sunday 9am to 5pm
twice baked edibles llc,twice baked edibles,Processor,PAAA-EJUK-XGSS,2023-04-25,Logan,Coyle,8401 N CHOCTAW RD,73027,405-589-9000,fritz@whitebox.net,9-5 monday through friday
MKL INDUSTRIES LLC,MKL INDUSTRIES LLC,Processor,PAAA-V1QJ-G3CV,2022-11-22,Cherokee,TAHLEQUAH,15180 HIGHWAY 82,74464-6253,5618898390,dvereten@gmail.com,9 am - 9 pm
"CannaQuest,LLC","CannaQuest,LLC",Processor,PAAA-3UTL-LRW1,2023-01-03,Marshall,OAKLAND,18867 11TH ST,73446-3106,5806770339,cannaquestken@gmail.com,10 am to 10 pm 12 hours
"3Thumbs OK, LLC","3Thumbs OK, LLC",Processor,PAAA-9ELJ-MK9Z,2022-07-17,Texas,Guymon,2109 NE 24th St,73942-5729,6203915343,3thumbsok@gmail.com,M-F 1200-1700
DB Tonics LLC,DB Tonics LLC,Processor,PAAA-SG44-AQG7,2022-08-14,Grady,TUTTLE,1038 COUNTY STREET 2937,73089-3032,4059215366,debra.finch444@gmail.com,10 am to 10 pm
Craft Kings LLC,Craft Kings,Processor,PAAA-NYX8-TOW7,2022-09-19,Washington,DEWEY,2351 INDUSTRIAL PKWY,74029-2237,4053420420,nick@greenleafcannaconsulting.com,8-5
Angels Gate LLC,Angel's Gate,Processor,PAAA-F90A-2VUZ,2023-07-31,Grady,RUSH SPRINGS,785 COUNTY ROAD 1545,73082-3019,3107798978,russell@angelsgatellc.com,10 am - 5 pm
Rare Earth Inc.,Rare Earth,Processor,PAAA-RM8B-0BYD,2022-09-26,Logan,EDMOND,,73025-1986,4055620740,info@rareearthmmj.com,9-5
Retainage Solutions Llc,Green Gold pre rolls,Processor,PAAA-0FR8-GIRL,2022-10-19,Nowata,NOWATA,1410 E FAIRVIEW AVE,74048,9186957281,bfielder73@yahoo.com,8
Amazen K Xtracts LLC,Amazen K Xtracts,Processor,PAAA-LM8O-6TRT,2022-12-11,Choctaw,HUGO,1391 N 4270 RD,74743-5707,5809698927,amazenkpharms@gmail.com,12a-12a
"Legendary Budz, LLC",Legendary Budz,Processor,PAAA-EYZX-TJYD,2023-04-06,Cleveland,Norman,708 Research Park Boulevard #101,73069,4058305177,tanglin160@yahoo.com,10am-3pm
O-KEY EMPORIUM LLC,O-KEY EMPORIUM,Processor,PAAA-BLU5-GJZD,2023-07-04,Comanche,LAWTON,815 SE INTERSTATE DR,73501-2489,(580) 512-3275,okeyemporiumllc@gmail.com,24/7
DCFB LLC,MAD SCIENTIST CANNABIS COMPANY,Processor,PAAA-IFRF-UM0F,2023-01-10,Comanche,LAWTON,1925 W GORE BLVD,73501-3664,5802800013,meddispensary1@gmail.com,10 AM -10 PM
"Zions Kitchen, LLC.","Zions Kitchen, LLC.",Processor,PAAA-V1YK-YGBR,2022-08-21,Comanche,LAWTON,2102 SW 3RD ST,73501-8561,4083106473,zionskitchenok@gmail.com,10am - 3pm
Ganulv Processing LLC,GANULV EXTRACTS & EDIBLES,Processor,PAAA-BQDI-MFHC,2023-02-01,Cherokee,Peggs,,74452,9188641186,ganulvprocessing@gmail.com,9am to 5pm Mon -Fri
"First Laboratory, LLC","First Lab, Daboratory, Mobius Concentrates",Processor,PAAA-41LE-VHJE,2023-01-11,Oklahoma,OKLAHOMA CITY,324 NW 94TH ST,73114-6121,4053405971,dkmckinney@craigcarterassociates.com,9:00 - 5:00 M-F
Empire Capital Management LLC,Volta Cannabinoids LLC,Processor,PAAA-IMNS-P8AY,2023-02-06,Oklahoma,OKLAHOMA CITY,1101 SE 29TH ST,73129-6437,4058969984,voltabiotech@gmail.com,7am-5pm Monday to Friday
THE HASH EMPORIUM LLC,SPACE DUST,Processor,PAAA-Q5MB-TEGK,2022-12-07,Cleveland,LEXINGTON,10500 48TH ST,73051-9606,8175210224,valleygirltx@gmail.com,12:00PM-5:00PM
Ghost Distribution LLC,Canagold USA,Processor,PAAA-K3R8-UFLK,2023-05-09,Logan,Coyle,8450 N Henny Rd,73027,4052378516,canagoldok@gmail.com,8am-5pm
"Good Shevron Processing, LLC","Good Shevron Processing, LLC",Processor,PAAA-EXLF-QE2N,2022-10-24,Oklahoma,OKLAHOMA CITY,11625 N SANTA FE AVE,73114-8105,(405) 738-2682,goodshevronllc@gmail.com,6-8
BIG CHIEF PROCESSING LLC.,BIG CHIEF PROCESSING LLC.,Processor,PAAA-KVF3-HSF2,2022-10-02,Bryan,DURANT,8460 OLD HIGHWAY 70,74701,9185203823,yasir@futonix.com,8AM - 10PM
Buy The Pound LLC,Buy The Pound,Processor,PAAA-WGNA-XI6U,2022-10-26,Oklahoma,OKLAHOMA CITY,4200 S HIGH AVE,73129-5428,9184533576,buythepound@outlook.com,8 a.m - 8 p.m
Chef Joey's Edibles LLC,Chef Joey’s Edibles,Processor,PAAA-CGNR-VQDO,2023-01-12,Tulsa,TULSA,1202 S SHERIDAN RD,74112-5406,9189694710,compliance@deltaoilco.com,7am-7pm
"VentureWise Processing, LLC","VentureWise Processing, LLC",Processor,PAAA-EKRH-PP0M,2022-10-10,Stephens,DUNCAN,6720 N 29TH ST,73533-8742,5805609674,shiro@cpiping.com,10-7
JMP Agricultural Farms of North Eastern Oklahoma INC.,Evergreen Wellness North Grove,Processor,PAAA-NYO5-GT8N,2022-12-11,Ottawa,FAIRLAND,57530 E HIGHWAY 59,74343-2340,4058803791,evergreenwellnessllc@gmail.com,8am to 12pm Sun-Sat.
