Business Name,Trade Name,License Type,License Number,License Date,County,City,Address,Zip,Phone,Email,Hours of Operation
"Golden Grams, LLC","Golden Grams, LLC",Grower,GAAA-XI9M-HEVO,2022-12-12,Pontotoc,ADA,13805 COUNTY ROAD 3500,74820-3348,8184867777,mgankin@gmail.com,8-5
479 Grow LLC,479 Grow LLC,Grower,GAAA-FKCF-SVRP,2022-10-25,Caddo,ANADARKO,27091 COUNTY ROAD 1310,73005-2026,4056380333,gastidham46@gmail.com,8-5
Old Mill Grow LLC,Old Mill Grow,Grower,GAAA-QTUP-Y7LU,2023-07-31,Harmon,Hollis,201 S Glover,73550,5807061491,theademan_27@hotmail.com,3pm to 7 pm
"GFAW, Inc.",Gas Factory,Grower,GAAA-4KJY-BVUP,2022-11-20,Woodward,SHARON,49687 S COUNTY ROAD 207,73857-5101,6103121226,gfaw2019@gmail.com,9:00am-6:00pm
"SANDY RIVER NURSERY, LLC","SANDY RIVER NURSERY, LLC",Grower,GAAA-WP2B-PBVD,2022-11-22,Bryan,COLBERT,5427 RIVER RD,74733-3244,2145462733,rbst20@yahoo.com,8:00am - 5:00pm
"GrowProCGJ, LLC","GrowProCGJ, LLC",Grower,GAAA-BN5C-HICB,2022-08-15,Oklahoma,OKLAHOMA CITY,1603 SE 25TH ST,73129-7609,4056720705,growprocgj@coatpro.biz,8AM - 4PM
DIVA PLANTATION LLC,DIVA PLANTATION LLC,Grower,GAAA-9PJS-NUYS,2023-05-30,Cleveland,NOBLE,8450 S HIGHWAY 77,73068-5302,4054269926,divaplantation@gmail.com,6-10
Mr. Bee's Farm's LLC,Mr. Bee's Farm's,Grower,GAAA-V1M0-C821,2023-03-14,Atoka,CADDO,1508 S OLD HWY,74729-5434,5803670198,mr.beesfarms@yahoo.com,varies
BBCS Farms LLC,BBCS Farms,Grower,GAAA-E1X3-VHA2,2022-11-15,Washington,BARTLESVILLE,1000 NE WASHINGTON BLVD,74006-1221,6203091421,bill@budbrotherscoughyshop.com,10am to 10pm
Exclusive Organics LLC,Exclusive Organics,Grower,GAAA-HEB6-UCHN,2022-09-25,Garvin,Elmore City,,73065,(404) 512-0358,komandosalex@gmail.com,9:00am to 5:00pm
CDXX S CORP LLC,CDXX S CORP LLC,Grower,GAAA-VYT9-E3DS,2022-09-16,Cleveland,LEXINGTON,9393 MOFFATT RD,73051-8235,2145432963,freshstart.investments.corp@gmail.com,5-5
HAO MAI LLC,HAO MAI LLC,Grower,GAAA-RUT5-0GMF,2023-05-30,Carter,ARDMORE,,73401-8496,6462498781,chanw5189@gmail.com,8 AM - 5 PM
"YASAA, LLC","YASAA, LLC",Grower,GAAA-9BI8-WIH6,2023-02-01,Okfuskee,PADEN,,74860-7076,6123540411,christina@viridianlegal.com,12a
STKC 4 LLC,STKC 4 LLC,Grower,GAAA-1NNP-NATL,2023-09-13,Delaware,COLCORD,,74338-1296,(818) 448-3278,kwags04@gmail.com,
Turner Clary Holdings LLC,Turner Roots,Grower,GAAA-4YA1-UVC0,2023-06-21,Oklahoma,OKLAHOMA CITY,,73109,(405) 824-5803,rootsevolutionokc@gmail.com,M-F 9-4:30
Dancing Leaf Company,Dancing Leaf Company,Grower,GAAA-41TJ-68NY,2023-02-07,McClain,WAYNE,15669 US HIGHWAY 77,73095,4052078760,transporttrucking27@gmail.com,24 hours
Green Method LLC,Green Method LLC,Grower,GAAA-JNZH-FSUR,2022-11-14,Tulsa,Tulsa,,74145,9182008797,tom@tomsoutdoorliving.com,9:00 a.m. to 6:00 p.m.
Grand Medical LLC,Grand Medical LLC,Grower,GAAA-VYYS-RRRD,2023-02-01,Okmulgee,BEGGS,11825 HAYES RD,74421,9186887891,dja10233@yahoo.com,9-6
PharmaFlower Group Inc,PharmaFlower Group Inc,Grower,GAAA-FO0J-5KT9,2022-11-24,Osage,FAIRFAX,361 N MAIN ST,74637-3026,5804853703,walkerpjok@gmail.com,8a-5p
"DR PAUL'S MEDICAL HERBS, LLC","DR PAUL'S MEDICAL HERBS, LLC",Grower,GAAA-SQG2-KACC,2022-08-03,Cotton,TEMPLE,264570 E 1970 RD,73568,9406317348,paul.parkey@gmail.com,8:00 AM - 5:OO PM M-F
Miracle Cannabis LLC,Miracle Cannabis Farm,Grower,GAAA-L2MM-BGLV,2022-09-21,Muskogee,muskogee,4770 east 73rd street south,74403,9183189331,miraclecannabisllc@gmail.com,8-5
Master Cannabis Growers LLC,Master Cannabis Growers,Grower,GAAA-4YAF-NNKM,2023-05-10,Atoka,BOSWELL,15665 E BACHELOR FARM RD,74727-2253,2148786171,bugsy@mcgfarm.com,8:00 - 5:00
TurnerHilton,TurnerHilton,Grower,GAAA-NKRC-AOTH,2023-05-01,Seminole,wewoka,12383 LAKE SHORE DR,74884-6013,4057654644,riandturner@gmail.com,9am-5pm
Bowery Green LLC,Bowery Green LLC,Grower,GAAA-SAUQ-LMKK,2022-12-21,Tulsa,TULSA,,74110-5039,(918) 978-7975,matt@gramcannabis.com,8:00 am to 6:00 pm
Alliance Venture Farm LLC,Alliance Venture Farm LLC,Grower,GAAA-PQRY-OLLN,2023-03-29,Lincoln,PRAGUE,,74864-2201,(409) 554-7880,dookiepoo@yahoo.com,9AM -10PM
THE SAENZ CLINIC LLC,THE SAENZ CLINIC,Grower,GAAA-RQF8-XHVX,2022-12-07,Texas,GUYMON,1436 KEY ST,73942-3348,8063394229,lizbethlongoria@gmail.com,10-7
Root 66 Grass Station llc,Root 66 Grass Station,Grower,GAAA-VKSW-GVAD,2022-12-10,Tulsa,CATOOSA,308 S 258TH EAST AVE,74015-4606,9187349360,root66grass@yahoo.com,8-5
No Limit Investments LLC,No Limit Garden,Grower,GAAA-NJ2N-GTE5,2022-08-30,Cleveland,NOBLE,4295 BANNER RD,73068,4053187826,sean.hussey6414@gmail.com,9 am-5 pm
ARK Farms LLC,ARK Farms LLC,Grower,GAAA-MFG9-TJYY,2022-09-20,Adair,STILWELL,471413 E 860 RD,74960-9375,9183150730,tammyeubanks71@gmail.com,9:00-5:00
Electric Avenue Lighthouse LLC,Electric Avenue Lighthouse LLC,Grower,GAAA-UOGF-RXL3,2023-03-22,Haskell,STIGLER,143 N BK 700 RD,74462-2173,9099224309,josh15037@gmail.com,9:00am to 5:00pm
"D and W River View Greenery, LLC","D and W River View Greenery, LLC",Grower,GAAA-PF3O-EFFW,2022-10-02,Pawnee,PAWNEE,360621 E 4700 RD,74058-4105,9185382278,dawesriverviewranch@yahoo.com,OPEN 24 HRS
Showdown Enterprises LLC,ALTVM,Grower,GAAA-VYM2-NGIO,2023-05-12,Oklahoma,EDMOND,225 GARAGE DR,73003-3209,(484) 797-5950,ricki@electraleaf.com,11am-7pm Monday-Friday.
Royce Industries LLc,Fire Factory,Grower,GAAA-VJPI-RAL2,2022-08-22,Sequoyah,MULDROW,300 W TREAT RD,74948-2431,4799261869,royce_industries@yahoo.com,9am-10pm
"Stilly Therapeutics, LLC",Stilly Therapeutics LLC,Grower,GAAA-KZGH-ROG7,2023-01-12,Payne,Stillwater,9707 W 32nd Avenue,74074,(405) 612-9116,texasagbiollc@gmail.com,9am - 5 pm
"Darryl's Ole Koots Cannabis, LLC","Darryl's Ole Koots Cannabis, LLC",Grower,GAAA-4KEY-R5B4,2022-12-14,Pittsburg,McAlester,324 Daisy Rd,74501,4052048926,darryelbuckner@gmail.com,7:00 a.m. - 10:00 p.m.
Cannabis Connoisseurs Enterprises. LLC,Cannabis Connoisseurs Enterprises,Grower,GAAA-WRPU-AFNM,2023-06-13,Logan,Edmond,,73025,(405) 819-2559,danni.kennard08@gmail.com,8-5
"Karenas, LLC",Golden Leaf Growers II,Grower,GAAA-NYDO-GUJB,2022-08-14,Creek,Bristow,32420 West 255th Street South,74010,9188104793,karenasllc@gmail.com,Monday- Saturday from 9:00am-9:00pm
Kwuality Krops,Kwuality Krops,Grower,GAAA-0CNR-NWQC,2023-02-07,Tillman,TIPTON,605 N BROADWAY ST,73570-9602,5803183349,kwualitykrops@gmail.com,10:00 am - 2:00 pm
Michael Cooke,C3 Medical,Grower,GAAA-XLAU-1SQN,2023-07-31,Canadian,Okarche,15750 N Fort Reno Road,73762,4052102209,mdcooke@cox.net,"8am to 5pm, Monday through Friday"
"OKLAHOMA GREEN CLOVER, LLC",OKLAHOMA GREEN CLOVER,Grower,GAAA-4DMU-BOTZ,2022-10-20,Love,MARIETTA,16859 TABLER RD,73448,2532853381,okgreenclover@gmail.com,8AM - 5PM
"Suiyi Garden, Inc.","Suiyi Garden, Inc.",Grower,GAAA-AFIJ-B38H,2022-12-11,Grady,AMBER,2052 COUNTY ROAD 1270,73004-5504,4059653028,pacific.ocean.ok@gmail.com,9-6
Dicks Farm LLC,Dicks Farm LLC,Grower,GAAA-UMYE-0VEV,2023-03-21,Pittsburg,MCALESTER,821 W MITCHELL RD,74501-5981,9184247303,aliceroutledge72@yahoo.com,9am - 5pm
Houa Farm LLC,Houa Farm,Grower,GAAA-AQJK-EQHH,2023-11-02,Rogers,Claremore,12661 S 4220 Rd.,74017,9183611193,houa_clinical@yahoo.com,9-5
Zukerman Farms LLC,Zukerman Farms,Grower,GAAA-EJIG-SY8D,2022-11-13,Comanche,GERONIMO,10168 SE 90TH ST,73543-2504,5805911371,zukermanfarms@gmail.com,10:00 to 6:00
OKC LUCKY LAND LLC,OKC LUCKY LAND LLC,Grower,GAAA-ZE0K-KFHG,2023-09-08,McClain,LINDSAY,18395 STATE HIGHWAY 76,73052-3645,(405) 934-3322,victor168mei@gmail.com,9-6
"PTK Power, LLC","PTK Power, LLC",Grower,GAAA-AKDY-QTQZ,2023-04-25,Sequoyah,VIAN,101677 S 4590 RD,74962-3016,(763) 337-4701,ptkpower.llc@gmail.com,9-5pm
Gold Mesa LLC,Gold Mesa LLC,Grower,GAAA-VYDH-NT52,2022-12-22,Oklahoma,JONES,18905 OAKHILL,73049-8007,4058341306,dayla@cox.net,8 a.m. to 5 p.m. Monday - Friday
Integra Medicinals LLC,Integra Medicinals,Grower,GAAA-N17O-VYPV,2023-01-12,Rogers,Talala,3850 E 380 Road,74080,9403999534,integramedicinals@gmail.com,9am-5pm
"MER Management, LLC. (Cushing)",Flower and Trim,Grower,GAAA-KSWL-BEYX,2023-05-17,Payne,CUSHING,3418 E GRANDSTAFF,74023-8709,4052031948,rbabb@turtlecreekexec.com,9am - 12pm Mon-Thurs
Sweet Glea's Farms LLC,Sweet Glea's Farms LLC,Grower,GAAA-MJNL-Q5OW,2022-10-05,Washita,CORDELL,11678 US HIGHWAY 183,73632,5805620015,sweetgleasfarms@gmail.com,7/6
"CRD Farms, LLC","CRD FARMS, LLC",Grower,GAAA-NKN7-3GLX,2022-08-14,Seminole,Holdenville,36455 EW 134 Road,74848,4052216100,easttexrex@yahoo.com,24
Imperial Green Genetics Club LLC,Imperial Green Genetics Club,Grower,GAAA-YU3T-8JF5,2022-10-18,Logan,CRESCENT,14165 W COOKSEY RD,73028-8788,6027771121,greenmagicclub21@gmail.com,9AM-5PM
"NATURAL HARVEST FARMS, LLC","NATURAL HARVEST FARMS, LLC",Grower,GAAA-4KR9-PIFF,2022-11-01,Sequoyah,SALLISAW,461593 E 1100 RD,74955,9185712859,sgish1169@yahoo.com,Sun-Sat 7:00 am -7 p.m.
Best Love Farm LLC,Best Love Farm LLC,Grower,GAAA-X8OB-ULYX,2023-01-12,Love,BURNEYVILLE,12828 S STATE HIGHWAY 76,73430-7504,3474032519,bestlovefarmllc@gmail.com,M-F 9:00AM-5:00PM
"Dharmatic Gardens, LLC","Dharmatic Gardens, LLC",Grower,GAAA-QNSX-VYMR,2023-01-08,Creek,KELLYVILLE,19831 W HIGHWAY 66,74039,9182149497,dharmaticgardens@gmail.com,9:00-3:00
YaYa Verde LLC,YaYa Verde,Grower,GAAA-RDGS-LNGZ,2022-12-16,Delaware,COLCORD,16289 STATE HIGHWAY 116,74338,6515280181,yayaverdeok@gmail.com,8am-4pm
Silver Flower Corporation,Silver Flower,Grower,GAAA-VWH0-XLIV,2022-08-18,McIntosh,Council hill,414243 e 1050 rd,74428,(517) 285-8052,silverflowercorp@gmail.com,9am-5pm
HK Organic Farms LLC,HK Organic Farms,Grower,GAAA-VJ5U-EADD,2023-01-13,Latimer,RED OAK,6123 NE 1120TH AVE,74563,9184656717,hkorganicfarms@gmail.com,8 A.M. - 5 P.M.
Randall Bucek,RANDALL BUCEK,Grower,GAAA-NKCL-X7QR,2023-05-02,McCurtain,GARVIN,490 JUNCO RD,74736-5306,9365228669,drilling4@yahoo.com,10:00 AM - 4:00 PM
Pace Growers LLC,Pace Growers LLC,Grower,GAAA-1676-I6AM,2023-08-31,Stephens,WAURIKA,187067 N 2770 RD,73573-5808,5804677423,samfpace@aol.com,8:00-5:00 Daily
Advanced Cultivations LLC,Advanced Cultivations LLC,Grower,GAAA-U9M9-DYOA,2022-10-24,Woodward,WOODWARD,206151 E COUNTY ROAD 43 LOT 65,73801-5544,5802167645,advancedcultivationsllc@yahoo.com,12am - 12am
"Kanapa Farms, LLC",Medica Farms,Grower,GAAA-SVGH-GUTT,2023-05-17,Bryan,CALERA,136 FORD RD,74730-3921,5802638023,info@medicafarms.com,8-6
